GemName,OrtName,Landuse,WegeDauer,Anzahl
Breisach am Rhein,Breisach (Kernstadt),commercial,0,0
Breisach am Rhein,Breisach (Kernstadt),commercial,5,0
Breisach am Rhein,Breisach (Kernstadt),commercial,10,0
Breisach am Rhein,Breisach (Kernstadt),commercial,15,5
Breisach am Rhein,Breisach (Kernstadt),commercial,20,21
Breisach am Rhein,Breisach (Kernstadt),commercial,25,19
Breisach am Rhein,Breisach (Kernstadt),commercial,30,21
Breisach am Rhein,Breisach (Kernstadt),commercial,40,11
Breisach am Rhein,Breisach (Kernstadt),commercial,120,2
Breisach am Rhein,Breisach (Kernstadt),farmyard,0,0
Breisach am Rhein,Breisach (Kernstadt),farmyard,5,0
Breisach am Rhein,Breisach (Kernstadt),farmyard,10,0
Breisach am Rhein,Breisach (Kernstadt),farmyard,15,0
Breisach am Rhein,Breisach (Kernstadt),farmyard,20,0
Breisach am Rhein,Breisach (Kernstadt),farmyard,25,0
Breisach am Rhein,Breisach (Kernstadt),farmyard,30,0
Breisach am Rhein,Breisach (Kernstadt),farmyard,40,2
Breisach am Rhein,Breisach (Kernstadt),farmyard,120,7
Breisach am Rhein,Breisach (Kernstadt),industrial,0,0
Breisach am Rhein,Breisach (Kernstadt),industrial,5,0
Breisach am Rhein,Breisach (Kernstadt),industrial,10,2
Breisach am Rhein,Breisach (Kernstadt),industrial,15,10
Breisach am Rhein,Breisach (Kernstadt),industrial,20,18
Breisach am Rhein,Breisach (Kernstadt),industrial,25,17
Breisach am Rhein,Breisach (Kernstadt),industrial,30,40
Breisach am Rhein,Breisach (Kernstadt),industrial,40,13
Breisach am Rhein,Breisach (Kernstadt),industrial,120,2
Breisach am Rhein,Breisach (Kernstadt),residential,0,0
Breisach am Rhein,Breisach (Kernstadt),residential,5,144
Breisach am Rhein,Breisach (Kernstadt),residential,10,391
Breisach am Rhein,Breisach (Kernstadt),residential,15,634
Breisach am Rhein,Breisach (Kernstadt),residential,20,591
Breisach am Rhein,Breisach (Kernstadt),residential,25,327
Breisach am Rhein,Breisach (Kernstadt),residential,30,36
Breisach am Rhein,Breisach (Kernstadt),residential,40,3
Breisach am Rhein,Breisach (Kernstadt),residential,120,206
Breisach am Rhein,Breisach (Kernstadt),unbekannt,0,0
Breisach am Rhein,Breisach (Kernstadt),unbekannt,5,7
Breisach am Rhein,Breisach (Kernstadt),unbekannt,10,10
Breisach am Rhein,Breisach (Kernstadt),unbekannt,15,8
Breisach am Rhein,Breisach (Kernstadt),unbekannt,20,2
Breisach am Rhein,Breisach (Kernstadt),unbekannt,25,3
Breisach am Rhein,Breisach (Kernstadt),unbekannt,30,4
Breisach am Rhein,Breisach (Kernstadt),unbekannt,40,10
Breisach am Rhein,Breisach (Kernstadt),unbekannt,120,2
Breisach am Rhein,Gündlingen,commercial,0,0
Breisach am Rhein,Gündlingen,commercial,5,0
Breisach am Rhein,Gündlingen,commercial,10,0
Breisach am Rhein,Gündlingen,commercial,15,0
Breisach am Rhein,Gündlingen,commercial,20,0
Breisach am Rhein,Gündlingen,commercial,25,0
Breisach am Rhein,Gündlingen,commercial,30,0
Breisach am Rhein,Gündlingen,commercial,40,0
Breisach am Rhein,Gündlingen,commercial,120,0
Breisach am Rhein,Gündlingen,farmyard,0,0
Breisach am Rhein,Gündlingen,farmyard,5,0
Breisach am Rhein,Gündlingen,farmyard,10,0
Breisach am Rhein,Gündlingen,farmyard,15,0
Breisach am Rhein,Gündlingen,farmyard,20,0
Breisach am Rhein,Gündlingen,farmyard,25,0
Breisach am Rhein,Gündlingen,farmyard,30,3
Breisach am Rhein,Gündlingen,farmyard,40,2
Breisach am Rhein,Gündlingen,farmyard,120,1
Breisach am Rhein,Gündlingen,industrial,0,0
Breisach am Rhein,Gündlingen,industrial,5,0
Breisach am Rhein,Gündlingen,industrial,10,0
Breisach am Rhein,Gündlingen,industrial,15,0
Breisach am Rhein,Gündlingen,industrial,20,0
Breisach am Rhein,Gündlingen,industrial,25,0
Breisach am Rhein,Gündlingen,industrial,30,0
Breisach am Rhein,Gündlingen,industrial,40,0
Breisach am Rhein,Gündlingen,industrial,120,2
Breisach am Rhein,Gündlingen,residential,0,0
Breisach am Rhein,Gündlingen,residential,5,88
Breisach am Rhein,Gündlingen,residential,10,264
Breisach am Rhein,Gündlingen,residential,15,133
Breisach am Rhein,Gündlingen,residential,20,18
Breisach am Rhein,Gündlingen,residential,25,0
Breisach am Rhein,Gündlingen,residential,30,0
Breisach am Rhein,Gündlingen,residential,40,0
Breisach am Rhein,Gündlingen,residential,120,0
Breisach am Rhein,Gündlingen,unbekannt,0,0
Breisach am Rhein,Gündlingen,unbekannt,5,0
Breisach am Rhein,Gündlingen,unbekannt,10,0
Breisach am Rhein,Gündlingen,unbekannt,15,0
Breisach am Rhein,Gündlingen,unbekannt,20,0
Breisach am Rhein,Gündlingen,unbekannt,25,0
Breisach am Rhein,Gündlingen,unbekannt,30,0
Breisach am Rhein,Gündlingen,unbekannt,40,0
Breisach am Rhein,Gündlingen,unbekannt,120,2
Breisach am Rhein,Niederrimsingen,commercial,0,0
Breisach am Rhein,Niederrimsingen,commercial,5,0
Breisach am Rhein,Niederrimsingen,commercial,10,0
Breisach am Rhein,Niederrimsingen,commercial,15,0
Breisach am Rhein,Niederrimsingen,commercial,20,0
Breisach am Rhein,Niederrimsingen,commercial,25,0
Breisach am Rhein,Niederrimsingen,commercial,30,0
Breisach am Rhein,Niederrimsingen,commercial,40,0
Breisach am Rhein,Niederrimsingen,commercial,120,0
Breisach am Rhein,Niederrimsingen,farmyard,0,0
Breisach am Rhein,Niederrimsingen,farmyard,5,0
Breisach am Rhein,Niederrimsingen,farmyard,10,0
Breisach am Rhein,Niederrimsingen,farmyard,15,0
Breisach am Rhein,Niederrimsingen,farmyard,20,0
Breisach am Rhein,Niederrimsingen,farmyard,25,1
Breisach am Rhein,Niederrimsingen,farmyard,30,0
Breisach am Rhein,Niederrimsingen,farmyard,40,0
Breisach am Rhein,Niederrimsingen,farmyard,120,0
Breisach am Rhein,Niederrimsingen,industrial,0,0
Breisach am Rhein,Niederrimsingen,industrial,5,0
Breisach am Rhein,Niederrimsingen,industrial,10,0
Breisach am Rhein,Niederrimsingen,industrial,15,0
Breisach am Rhein,Niederrimsingen,industrial,20,0
Breisach am Rhein,Niederrimsingen,industrial,25,0
Breisach am Rhein,Niederrimsingen,industrial,30,0
Breisach am Rhein,Niederrimsingen,industrial,40,8
Breisach am Rhein,Niederrimsingen,industrial,120,7
Breisach am Rhein,Niederrimsingen,residential,0,0
Breisach am Rhein,Niederrimsingen,residential,5,85
Breisach am Rhein,Niederrimsingen,residential,10,208
Breisach am Rhein,Niederrimsingen,residential,15,74
Breisach am Rhein,Niederrimsingen,residential,20,4
Breisach am Rhein,Niederrimsingen,residential,25,1
Breisach am Rhein,Niederrimsingen,residential,30,0
Breisach am Rhein,Niederrimsingen,residential,40,0
Breisach am Rhein,Niederrimsingen,residential,120,0
Breisach am Rhein,Niederrimsingen,unbekannt,0,0
Breisach am Rhein,Niederrimsingen,unbekannt,5,2
Breisach am Rhein,Niederrimsingen,unbekannt,10,0
Breisach am Rhein,Niederrimsingen,unbekannt,15,0
Breisach am Rhein,Niederrimsingen,unbekannt,20,0
Breisach am Rhein,Niederrimsingen,unbekannt,25,0
Breisach am Rhein,Niederrimsingen,unbekannt,30,0
Breisach am Rhein,Niederrimsingen,unbekannt,40,0
Breisach am Rhein,Niederrimsingen,unbekannt,120,0
Breisach am Rhein,Oberrimsingen,commercial,0,0
Breisach am Rhein,Oberrimsingen,commercial,5,0
Breisach am Rhein,Oberrimsingen,commercial,10,0
Breisach am Rhein,Oberrimsingen,commercial,15,0
Breisach am Rhein,Oberrimsingen,commercial,20,0
Breisach am Rhein,Oberrimsingen,commercial,25,0
Breisach am Rhein,Oberrimsingen,commercial,30,0
Breisach am Rhein,Oberrimsingen,commercial,40,0
Breisach am Rhein,Oberrimsingen,commercial,120,0
Breisach am Rhein,Oberrimsingen,farmyard,0,0
Breisach am Rhein,Oberrimsingen,farmyard,5,0
Breisach am Rhein,Oberrimsingen,farmyard,10,0
Breisach am Rhein,Oberrimsingen,farmyard,15,0
Breisach am Rhein,Oberrimsingen,farmyard,20,0
Breisach am Rhein,Oberrimsingen,farmyard,25,0
Breisach am Rhein,Oberrimsingen,farmyard,30,0
Breisach am Rhein,Oberrimsingen,farmyard,40,0
Breisach am Rhein,Oberrimsingen,farmyard,120,5
Breisach am Rhein,Oberrimsingen,industrial,0,0
Breisach am Rhein,Oberrimsingen,industrial,5,0
Breisach am Rhein,Oberrimsingen,industrial,10,1
Breisach am Rhein,Oberrimsingen,industrial,15,15
Breisach am Rhein,Oberrimsingen,industrial,20,0
Breisach am Rhein,Oberrimsingen,industrial,25,0
Breisach am Rhein,Oberrimsingen,industrial,30,0
Breisach am Rhein,Oberrimsingen,industrial,40,0
Breisach am Rhein,Oberrimsingen,industrial,120,5
Breisach am Rhein,Oberrimsingen,residential,0,0
Breisach am Rhein,Oberrimsingen,residential,5,89
Breisach am Rhein,Oberrimsingen,residential,10,190
Breisach am Rhein,Oberrimsingen,residential,15,181
Breisach am Rhein,Oberrimsingen,residential,20,17
Breisach am Rhein,Oberrimsingen,residential,25,0
Breisach am Rhein,Oberrimsingen,residential,30,0
Breisach am Rhein,Oberrimsingen,residential,40,3
Breisach am Rhein,Oberrimsingen,residential,120,48
Breisach am Rhein,Oberrimsingen,unbekannt,0,0
Breisach am Rhein,Oberrimsingen,unbekannt,5,0
Breisach am Rhein,Oberrimsingen,unbekannt,10,1
Breisach am Rhein,Oberrimsingen,unbekannt,15,2
Breisach am Rhein,Oberrimsingen,unbekannt,20,0
Breisach am Rhein,Oberrimsingen,unbekannt,25,0
Breisach am Rhein,Oberrimsingen,unbekannt,30,0
Breisach am Rhein,Oberrimsingen,unbekannt,40,1
Breisach am Rhein,Oberrimsingen,unbekannt,120,0
Breisach am Rhein,Breisach am Rhein,commercial,0,0
Breisach am Rhein,Breisach am Rhein,commercial,5,0
Breisach am Rhein,Breisach am Rhein,commercial,10,0
Breisach am Rhein,Breisach am Rhein,commercial,15,0
Breisach am Rhein,Breisach am Rhein,commercial,20,0
Breisach am Rhein,Breisach am Rhein,commercial,25,0
Breisach am Rhein,Breisach am Rhein,commercial,30,0
Breisach am Rhein,Breisach am Rhein,commercial,40,0
Breisach am Rhein,Breisach am Rhein,commercial,120,0
Breisach am Rhein,Breisach am Rhein,farmyard,0,0
Breisach am Rhein,Breisach am Rhein,farmyard,5,0
Breisach am Rhein,Breisach am Rhein,farmyard,10,0
Breisach am Rhein,Breisach am Rhein,farmyard,15,0
Breisach am Rhein,Breisach am Rhein,farmyard,20,0
Breisach am Rhein,Breisach am Rhein,farmyard,25,0
Breisach am Rhein,Breisach am Rhein,farmyard,30,0
Breisach am Rhein,Breisach am Rhein,farmyard,40,0
Breisach am Rhein,Breisach am Rhein,farmyard,120,0
Breisach am Rhein,Breisach am Rhein,industrial,0,0
Breisach am Rhein,Breisach am Rhein,industrial,5,0
Breisach am Rhein,Breisach am Rhein,industrial,10,0
Breisach am Rhein,Breisach am Rhein,industrial,15,0
Breisach am Rhein,Breisach am Rhein,industrial,20,0
Breisach am Rhein,Breisach am Rhein,industrial,25,0
Breisach am Rhein,Breisach am Rhein,industrial,30,0
Breisach am Rhein,Breisach am Rhein,industrial,40,0
Breisach am Rhein,Breisach am Rhein,industrial,120,0
Breisach am Rhein,Breisach am Rhein,residential,0,0
Breisach am Rhein,Breisach am Rhein,residential,5,0
Breisach am Rhein,Breisach am Rhein,residential,10,0
Breisach am Rhein,Breisach am Rhein,residential,15,0
Breisach am Rhein,Breisach am Rhein,residential,20,0
Breisach am Rhein,Breisach am Rhein,residential,25,0
Breisach am Rhein,Breisach am Rhein,residential,30,0
Breisach am Rhein,Breisach am Rhein,residential,40,0
Breisach am Rhein,Breisach am Rhein,residential,120,0
Breisach am Rhein,Breisach am Rhein,unbekannt,0,0
Breisach am Rhein,Breisach am Rhein,unbekannt,5,0
Breisach am Rhein,Breisach am Rhein,unbekannt,10,0
Breisach am Rhein,Breisach am Rhein,unbekannt,15,0
Breisach am Rhein,Breisach am Rhein,unbekannt,20,0
Breisach am Rhein,Breisach am Rhein,unbekannt,25,0
Breisach am Rhein,Breisach am Rhein,unbekannt,30,0
Breisach am Rhein,Breisach am Rhein,unbekannt,40,0
Breisach am Rhein,Breisach am Rhein,unbekannt,120,0
